rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
104	C8H14O5	[M - H]-	C8H14O5	89.95770221885273	86.905628190409	3.0520740284437244	13	0.8616383062920457	0.48948263922483726	3.873900993474075	1.2846828272816382		189.07709	221.33	202_LimoneneNegative_205
105	C7H12O4	[M - H]-	C7H12O4	89.45674437324946	84.49169648673012	4.965047886519347	13	0.9671523906378745	1.0767117021562576	3.597441698436998	1.9965730739490448		159.06660	110.57	94_LimoneneNegative_95
106	C18H28O8	[M - H]-	C18H28O8	89.21943989294351	85.35442473541615	3.865015157527364	30	0.8956086199122176	1.7324583397536903	2.3891034627849836	0.07704286554474896		371.17117	594.59	353_LimoneneNegative_356
107	C9H12O3	[M - H]-	C9H12O3	89.1085027301375	85.91871425008834	3.189788480049165	12	0.8907512057993896	2.8187207180642773	3.0143565736281976	1.9285618679718406		167.07169	193.56	172_LimoneneNegative_174
108	C8H14O5	[M - H]-	C8H14O5	88.6154892193558	85.62564126486797	2.9898479544878307	20	0.8788734643786277	2.366448308921658	3.6802999441500797	1.6020132022616582		189.07715	161.39	147_LimoneneNegative_148
109	C8H12O5	[M - H]-	C8H12O5	88.2703716721955	82.94954652923873	5.320825142956765	26	0.9150246988954872	-0.8813795809283154	3.1150287744534215	1.2454095457171797		187.06143	97.88	78_LimoneneNegative_79
110	C17H26O10	[M - H]-	C17H26O10	88.25058891032694	84.5913328533935	3.65925605693345	25	0.9709725430155043	2.1253758071626487	2.7684402370304193	0.666640208312401		389.14558	394.66	290_LimoneneNegative_293
111	C18H30O8	[M - H]-	C18H30O8	88.1515689191419	84.25662676853295	3.894942150608941	27	0.8543087739843651	2.9319655917070193	3.2278744220732394	0.21043637088141437		373.18687	643.98	371_LimoneneNegative_374
112	C19H32O7	[M - H2O - H]-	C19H30O6	87.54556801154135	83.88896180115972	3.6566062103816197	26	0.8639377171969366	1.3223231697753748	2.1062738352482278	-50992.35906083113		353.19717	988.37	449_LimoneneNegative_452
113	C13H16O5	[M - H]-	C13H16O5	86.09531367505679	82.4304170961458	3.664896578910989	17	0.9466071075227435	2.334256190443968	2.4623294568784213	0.5688740639581061		251.09264	231.97	215_LimoneneNegative_218
114	C9H14O3	[M - H2O - H]-	C9H12O2	86.02861501052229	82.89560691090867	3.133008099613622	13	0.9093339229994348	1.4349443615087427	2.774639205015658	-119212.03710581604		151.07684	264.31	241_LimoneneNegative_244
115	C7H10O5	[M - H]-	C7H10O5	85.73422491924549	82.70357794311089	3.0306469761346078	15	0.9614445272421057	-1.2635857591226554	2.781041290648181	1.2310737377006702		173.04576	102.1	85_LimoneneNegative_86
116	C9H12O6	[M - H2O - H]-	C9H10O5	85.43648963949411	82.34094651130927	3.0955431281848473	12	0.9082602977827232	2.6021311723601954	2.6021311723601954	-91401.76283861263		197.04578	74.87	47_LimoneneNegative_47
117	C13H18O5	[M - H]-	C13H18O5	85.03350263534074	81.55176519814032	3.481737437200418	13	0.9378253049213187	1.400275493059059	2.0182295351258523	0.880160899328882		253.10837	618.12	363_LimoneneNegative_366
118	C19H28O8	[M - H]-	C19H28O8	85.00000643728457	81.0550691261029	3.9449373111816723	28	0.9460287712357055	1.4373166864245064	2.463569526280869	0.07463006818701197		383.17117	682.83	380_LimoneneNegative_383
119	C10H16O5	[M - H]-	C10H16O5	84.57166407272823	81.39072634632062	3.1809377264076084	28	0.9275711457689606	1.6352535722074835	2.346344331397918	0.8035610444386233		215.09267	324.73	272_LimoneneNegative_275
120	C17H26O9	[M - H]-	C17H26O9	84.15865511046535	80.39120530927437	3.7674498011909763	27	0.8937679977446185	1.5710590196164118	2.4160758008679437	0.2520165203405705		373.15050	455.04	317_LimoneneNegative_320
121	C10H16O6	[M - H2O - H]-	C10H14O5	83.38627489084776	83.38627489084776	0.0	26	0.940842622281625	2.183181849606934	2.944006661958753	-84524.34976576302		213.07720	215.11	190_LimoneneNegative_193
122	C11H18O6	[M - H]-	C11H18O6	83.32749457001889	79.83659501378794	3.4908995562309375	14	0.9507701223219003	1.433611355198199	2.2065628484990696	0.15567363516825755		245.10310	290.48	253_LimoneneNegative_256
123	C7H10O4	[M - H]-	C7H10O4	82.81435961405953	77.84873347443236	4.965626139627162	24	0.9354167199447612	-0.6498291111238034	3.2799411153128406	1.9589318632969936		157.05094	165.63	149_LimoneneNegative_150
124	C8H12O5	[M - H]-	C8H12O5	82.56394055488337	77.27177859187327	5.292161963010096	17	0.9426015533592421	1.432758976160393	2.5176748446720256	1.138492918187443		187.06141	136.09	118_LimoneneNegative_119
125	C9H14O3	[M - H]-	C9H14O3	82.20781004239562	76.96287633302934	5.244933709366278	15	0.9060394324760367	1.0355026675760297	2.744019857670468	2.200897953195608		169.08739	542.94	338_LimoneneNegative_341
126	C7H8O5	[M - H]-	C7H8O5	81.31349353350552	81.31349353350552	0.0	13	0.6970651546175249	-2.1107659640563283	3.3070457390523242	2.5907455399403903		171.03034	212.99	186_LimoneneNegative_189
