"id","foldernumber","Carcinogenicity_predicted","predform","predion","exactMass"
"LimoneneNegative","300","Inactive","C10H14O3","C10H14O3_[M-H2O-H]-",182.09429428
"LimoneneNegative","301","Inactive","C10H16O4","C10H16O4_[M-H]-",200.10485896
"LimoneneNegative","302","Active","C12H15ClO4","C12H15ClO4_[M-H]-",258.06588661
"LimoneneNegative","303","Active","C20H32O8","C20H32O8_[M-H]-",400.20971792
"LimoneneNegative","304","Active","C22H30O8","C22H30O8_[M-H]-",422.19406786
"LimoneneNegative","305","Active","C17H24O9","C17H24O9_[M-H]-",372.1420323
"LimoneneNegative","306","Inactive","C11H16O5","C11H16O5_[M-H2O-H]-",228.09977358
"LimoneneNegative","307","Inactive","C15H22O6","C15H22O6_[M-H2O-H]-",298.14163838
"LimoneneNegative","308","Inactive","C12H14O6","C12H14O6_[M-H]-",254.07903814
"LimoneneNegative","309","Inactive","C15H24O6","C15H24O6_[M-H]-",300.15728844
"LimoneneNegative","31","Inactive","C8H14O6","C8H14O6_[M-H]-",206.07903814
"LimoneneNegative","310","Active","C11H18O5","C11H18O5_[M-H2O-H]-",230.11542364
"LimoneneNegative","311","Inactive","C12H20O5","C12H20O5_[M-H]-",244.1310737
"LimoneneNegative","312","Inactive","C17H24O9","C17H24O9_[M-H]-",372.1420323
"LimoneneNegative","313","Active","C18H26O9","C18H26O9_[M-H]-",386.15768236
"LimoneneNegative","314","Inactive","C15H24O6","C15H24O6_[M-H]-",300.15728844
"LimoneneNegative","315","Inactive","C13H18O6","C13H18O6_[M-H]-",270.11033826
"LimoneneNegative","316","Inactive","C12H20O5","C12H20O5_[M-H]-",244.1310737
"LimoneneNegative","317","Inactive","C17H26O9","C17H26O9_[M-H]-",374.15768236
"LimoneneNegative","318","Inactive","C9H8O4","C9H8O4_[M-H]-",180.04225872
"LimoneneNegative","319","Inactive","C9H17NO3","C9H17NO3_[M-H]-",187.12084337
"LimoneneNegative","32","Inactive","C5H8O5","C5H8O5_[M-H]-",148.03717334
"LimoneneNegative","320","Active","C16H24O6","C16H24O6_[M-H2O-H]-",312.15728844
"LimoneneNegative","321","Active","C18H26O9","C18H26O9_[M-H]-",386.15768236
"LimoneneNegative","322","Inactive","C8H8O3","C8H8O3_[M-H2O-H]-",152.0473441
"LimoneneNegative","323","Active","C18H26O7","C18H26O7_[M-H2O-H]-",354.16785312
"LimoneneNegative","324","Active","C18H26O8","C18H26O8_[M-H]-",370.16276774
"LimoneneNegative","325","Inactive","C8H14O4","C8H14O4_[M-H]-",174.0892089
"LimoneneNegative","326","Inactive","C7H6O3","C7H6O3_[M-H]-",138.03169404
"LimoneneNegative","327","Inactive","C7H8N6O2","C7H8N6O2_[M-H]-",208.07087348
"LimoneneNegative","328","Active","C18H26O8","C18H26O8_[M-H]-",370.16276774
"LimoneneNegative","329","Inactive","C8H12O","C8H12O_[M-H2O-H]-",124.08881498
"LimoneneNegative","33","Inactive","C6H10O5","C6H10O5_[M-H]-",162.0528234
"LimoneneNegative","331","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","332","Inactive","C11H20O4","C11H20O4_[M-H]-",216.13615908
"LimoneneNegative","333","Active","C17H26O6","C17H26O6_[M-H]-",326.1729385
"LimoneneNegative","334","Active","C12H16O6","C12H16O6_[M-H]-",256.0946882
"LimoneneNegative","335","Inactive","C8H12O","C8H12O_[M-H]-",124.08881498
"LimoneneNegative","336","Inactive","C8H14O","C8H14O_[M-H]-",126.10446504
"LimoneneNegative","337","Inactive","C9H12O2","C9H12O2_[M-H2O-H]-",152.0837296
"LimoneneNegative","338","Inactive","C9H14O3","C9H14O3_[M-H]-",170.09429428
"LimoneneNegative","339","Inactive","C12H14O5","C12H14O5_[M-H2O-H]-",238.08412352
"LimoneneNegative","34","Inactive","C7H12O5","C7H12O5_[M-H]-",176.06847346
"LimoneneNegative","340","Active","C18H26O8","C18H26O8_[M-H]-",370.16276774
"LimoneneNegative","341","Inactive","C18H28O11","C18H28O11_[M-H]-",420.16316166
"LimoneneNegative","342","Active","C17H26O7","C17H26O7_[M-H]-",342.16785312
"LimoneneNegative","343","Inactive","C20H32O9","C20H32O9_[M-H]-",416.20463254
"LimoneneNegative","344","Active","C17H24O8","C17H24O8_[M-H]-",356.14711768
"LimoneneNegative","345","Active","C18H26O8","C18H26O8_[M-H]-",370.16276774
"LimoneneNegative","346","Inactive","C18H30O9","C18H30O9_[M-H]-",390.18898248
"LimoneneNegative","347","Inactive","C11H18O4","C11H18O4_[M-H]-",214.12050902
"LimoneneNegative","348","Active","C17H26O7","C17H26O7_[M-H]-",342.16785312
"LimoneneNegative","349","Active","C11H18O4","C11H18O4_[M-H]-",214.12050902
"LimoneneNegative","35","Inactive","C8H12O6","C8H12O6_[M-H]-",204.06338808
"LimoneneNegative","350","Active","C18H26O9","C18H26O9_[M-H]-",386.15768236
"LimoneneNegative","351","Active","C18H30O9","C18H30O9_[M-H]-",390.18898248
"LimoneneNegative","351","Inactive","C18H30O9","C18H30O9_[M-H2O-H]-",390.18898248
"LimoneneNegative","352","Inactive","C21H34O9","C21H34O9_[M-H2O-H]-",430.2202826
"LimoneneNegative","353","Active","C18H28O8","C18H28O8_[M-H]-",372.1784178
"LimoneneNegative","354","Inactive","C18H28O10","C18H28O10_[M-H]-",404.16824704
"LimoneneNegative","355","Inactive","C9H16O","C9H16O_[M-H]-",140.1201151
"LimoneneNegative","356","Inactive","C10H14O2","C10H14O2_[M-H2O-H]-",166.09937966
"LimoneneNegative","357","Inactive","C10H16O3","C10H16O3_[M-H]-",184.10994434
"LimoneneNegative","358","Active","C13H16O5","C13H16O5_[M-H]-",252.09977358
"LimoneneNegative","359","Active","C19H28O9","C19H28O9_[M-H]-",400.17333242
"LimoneneNegative","36","Inactive","C4H9N6O4","C4H9N6O4_[M-H]-",205.06852775
"LimoneneNegative","360","Inactive","C9H10O3","C9H10O3_[M-H2O-H]-",166.06299416
"LimoneneNegative","361","Active","C19H28O10","C19H28O10_[M-H]-",416.16824704
"LimoneneNegative","362","Inactive","C21H34O9","C21H34O9_[M-H2O-H]-",430.2202826
"LimoneneNegative","363","Active","C13H18O5","C13H18O5_[M-H]-",254.11542364
"LimoneneNegative","364","Inactive","C21H36O9","C21H36O9_[M-H]-",432.23593266
"LimoneneNegative","365","Inactive","C19H30O9","C19H30O9_[M-H]-",402.18898248
"LimoneneNegative","366","Inactive","C19H28O10","C19H28O10_[M-H]-",416.16824704
"LimoneneNegative","367","Active","C20H30O10","C20H30O10_[M-H]-",430.1838971
"LimoneneNegative","368","Inactive","C17H26O6","C17H26O6_[M-H2O-H]-",326.1729385
"LimoneneNegative","369","Active","C12H18O5","C12H18O5_[M-H2O-H]-",242.11542364
"LimoneneNegative","37","Inactive","C6H10O3","C6H10O3_[M-H]-",130.06299416
"LimoneneNegative","370","Active","C19H28O10","C19H28O10_[M-H]-",416.16824704
